Datum;Zeit;Veranstaltung;Thema;Alter
;;;;
07/01/23;16:00 Uhr;Planetarium;Das astronomische Jahr 2023;10
;Schließzeit;14.01.-30.01.2023 ;;
04/02/23;15:00 Uhr;Planetarium;Bei den Teleskopen  in den Anden – eine Reisebericht;12
08/02/23;10:00 Uhr;Planetarium;Unsere Milchstraße;12
10/02/23;10:00 Uhr;Planetarium;Unser Universum;12
11/02/23;15:00 Uhr;Planetarium;Captain Sternschnuppe (FD) Premiere;8
13/02/23;10:00 Uhr;Planetarium;Von der Erde ins Universum (FD);12
15/02/23;10:00 Uhr;Planetarium;Reise durch das Sonnensystem;10
16/02/23;15:00 Uhr;Planetarium;Ferne Welten (FD) Premiere;12
17/02/23;10:00 Uhr;Planetarium;Sonne, Mond und Sterne;6
18/02/23;15:00 Uhr;Planetarium;Plani und Wuschel retten die Sterne;6
25/02/23;15:00 Uhr;Planetarium;Die Jahreszeiten;12
;;;;
11/03/23;15:00 Uhr;Planetarium;Wie die Sternbilder an den Himmel kamen;8
25/03/23;15:00 Uhr;Planetarium;Aus dem Leben eines Sterns;12
;;;;
08/04/23;15:00 Uhr;Planetarium;Wie Tom den Osterhasen vom Himmel holte;6
29/04/23;15:00 Uhr;Planetarium;Dunkle Materie (FD);12
;;;;
13/05/23;15:00 Uhr;Planetarium;Der kleine Häwelmann;8
27/05/23;15:00 Uhr;Planetarium;Die Sommersternbilder ;10
;;;;
10/06/23;15:00 Uhr;Planetarium;Peterchens Mondfahrt;6
24/06/23;15:00 Uhr;Planetarium;Der Mond;12
Betriebsferien;;01.07.2023-23.07.2023; ;
12/08/23;15:00 Uhr;Planetarium;Der Mond beim Schneider;6
26/08/23;15:00 Uhr;Planetarium;Planeten – Geschwister der Erde;12
;;;;
09/09/23;15:00 Uhr;Planetarium;Ein Sternbild für Flappy;6
30/09/23;15:00 Uhr;Planetarium;Tierkreiszeichen – Horoskope;12
;;;;
14/10/23;15:00 Uhr;Planetarium;Sonne, Mond und Sterne;6
28/10/23;15:00 Uhr;Planetarium;SOFIA – Flug in die Stratosphäre;12
;;;;
11/11/23;15:00 Uhr;Planetarium;Sternschnuppen überall;8
25/11/23;15:00 Uhr;Planetarium;Bedrohung aus dem All;12
;;;;
02/12/23;ab 10:00 Uhr;Hörsaal/Planetarium;22. Südthüringische Astronomische Tag;
09/12/23;15:00 Uhr;Planetarium;Die drei Weihnachtssternchen;6
16/12/23;14:00 Uhr;Planetarium;Tinos Traumreise zum Weihnachtshimmel;6
16/12/23;16:00 Uhr;Planetarium;Stern von Bethlehem;12
24/12/23;14:00 Uhr;Planetarium;Das Geheimnis des Weihnachtssterns;6
24/12/23;15:00 Uhr;Planetarium;Das Geheimnis des Weihnachtssterns;6